1,Destination,Route,Towards,Notes,Walki
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:14
From,Kublis:Via Saas:(Landquart),231,Kublis:Serneus,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:17
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Connection to Davos 24 Dec - 11 Mar only.,14:31
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station:Serneus,Connection to Davos 24 Dec - 11 Mar only.,14:36
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:44
From,Kublis:Via Saas,231,Kublis:Serneus,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:47
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,15:01
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station:Serneus,No,15:06
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,15:14
From,Kublis:Via Saas:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,15:16
From,Kublis:Via Saas:(Landquart),231,Kublis:Serneus,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,15:17
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,15:31
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station:Serneus,No,15:36
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,15:44
From,Kublis:Via Saas:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,15:46
From,Kublis:Via Saas:(Landquart),231,Kublis:Serneus,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,15:47
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,16:01
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station:Serneus,No,16:06
